molecule,a(m6bar/mol2),b(m3/mol)
AlCl3,4.26E-05,2.45E-04
NH3,4.23E-06,3.71E-05
NH4Cl,2.38E-06,7.34E-06
Ar,1.36E-06,3.20E-05
BCl3,1.56E-05,1.22E-04
BF3,3.98E-06,5.44E-05
B2H6,6.05E-06,7.44E-05
Br2,9.75E-06,5.91E-05
ClFO2,7.37E-06,7.13E-05
ClF5,9.58E-06,8.20E-05
ClH4P,4.11E-06,4.55E-05
Cl2,6.34E-06,5.42E-05
Cl3FSi,1.57E-05,1.27E-04
F2,1.17E-06,2.90E-05
GeCl4,2.31E-05,1.49E-04
F3N,3.58E-06,5.45E-05
F3P,4.95E-06,6.51E-05
F4N2,7.43E-06,8.56E-05
GeH4,5.74E-06,6.56E-05
He,3.46E-08,2.38E-05
HBr,4.50E-06,4.42E-05
HCl,3.70E-06,4.06E-05
HCN,1.13E-05,8.81E-05
HF,9.57E-06,7.39E-05
HI,6.31E-06,5.30E-05
H2,2.45E-07,2.65E-05
H2O,5.54E-06,3.05E-05
H2S,4.54E-06,4.34E-05
H2Se,5.52E-06,4.79E-05
Kr,2.33E-06,3.96E-05
SiH4,4.38E-06,5.79E-05
SiCl4,2.10E-05,1.47E-04
SiF4,5.26E-06,7.24E-05
TiCl4,2.55E-05,1.42E-04
Hg,5.19E-06,1.06E-05
NO,1.46E-06,2.89E-05
NO2,5.36E-06,4.43E-05
N2,1.37E-06,3.87E-05
N2O,3.85E-06,4.44E-05
N2H4,8.46E-06,4.62E-05
Ne,2.08E-07,1.67E-05
O2,1.38E-06,3.19E-05
O3,3.57E-06,4.87E-05
P,5.36E-05,1.57E-04
PH3,4.70E-06,5.16E-05
Rn,6.60E-06,6.24E-05
SnCl4,2.73E-05,1.64E-04
S,2.43E-05,6.60E-05
SO2,6.87E-06,5.68E-05
SF6,7.86E-06,8.79E-05
Se,3.34E-05,6.75E-05
UF6,1.60E-05,1.13E-04
WF6,1.33E-05,1.06E-04
Xe,4.19E-06,5.16E-05
XeF2,1.25E-05,7.04E-05
XeF4,1.55E-05,9.04E-05
CClF3,6.87E-06,8.11E-05
CCl3F,1.47E-05,1.11E-04
CCl4,2.00E-05,1.28E-04
CF4,4.04E-06,6.33E-05
CO,1.47E-06,3.95E-05
COS,6.98E-06,6.63E-05
CO2,3.66E-06,4.29E-05
CS2,1.13E-05,7.26E-05
CHCl3,1.53E-05,1.02E-04
CHF3,5.38E-06,6.40E-05
CH2Cl2,1.24E-05,8.69E-05
CH2F2,6.18E-06,6.27E-05
CH3Cl,7.57E-06,6.48E-05
CH3F,5.01E-06,5.62E-05
NH3NO2,1.72E-05,1.04E-04
CH4,2.30E-06,4.30E-05
CH3OH,9.47E-06,6.58E-05
CH3SH,8.91E-06,6.76E-05
CH3NH2,7.11E-06,5.88E-05
C2Cl2F3,2.03E-05,1.48E-04
C2F4,6.95E-06,8.09E-05
C2N2,7.80E-06,6.95E-04
C2H2,4.52E-06,5.22E-05
C2H2F2,6.00E-06,7.06E-05
C2H3Cl3,2.02E-05,1.32E-04
C2H3F,5.98E-06,6.50E-05
C2H3F3,9.30E-06,9.57E-05
C2H3N,1.79E-05,1.17E-04
C2H4,4.61E-06,5.82E-05
C2H4Cl2,1.57E-05,1.07E-04
C2H4Cl2,1.70E-05,1.08E-04
C2H4O,8.92E-06,6.78E-05
CH3COOH,1.77E-05,1.07E-04
C2H4O2,1.15E-05,8.44E-05
C2H5Br,1.19E-05,8.41E-05
C2H5Cl,1.17E-05,9.00E-05
C2H5F,8.17E-06,7.76E-05
C2H6,5.57E-06,6.50E-05
C2H6O,8.69E-06,7.74E-05
C2H5OH,1.26E-05,8.71E-05
C2H5SH,1.33E-05,9.45E-05
C2H5SH,1.32E-05,9.45E-05
C2H7N,1.04E-05,8.51E-05
C2H7N,1.08E-05,8.43E-05
C3F8,1.30E-05,1.34E-04
C3H5N,2.16E-05,1.37E-04
C3H6,8.44E-06,8.24E-05
C3H6,8.29E-06,7.42E-05
C3H6O,1.60E-05,1.12E-04
C3H6O,1.41E-05,9.95E-05
C3H6O2,1.59E-05,1.12E-04
C3H6O2,1.58E-05,1.11E-04
C3H6O2,2.35E-05,1.39E-04
C3H7Cl,1.61E-05,1.14E-04
C3H8,9.39E-06,9.04E-05
C3H8O,1.63E-05,1.08E-04
C3H8O,1.58E-05,1.11E-04
C3H8O,1.27E-05,1.03E-04
C3H8S,1.95E-05,1.30E-04
C3H9N,1.53E-05,1.09E-04
C3H9N,1.34E-05,1.10E-04
C4H4O,1.27E-05,9.26E-05
C4H4S,1.72E-05,1.06E-04
C4H4N,1.88E-05,1.05E-04
C4H6,1.22E-05,1.02E-04
C4H6O3,2.68E-05,1.57E-04
C4H7N,2.58E-05,1.57E-04
C4H8,1.28E-05,1.08E-04
C4H8,1.24E-05,9.60E-05
C4H8O,2.00E-05,1.33E-04
C4H8O,1.64E-05,1.08E-04
C4H8O2,1.93E-05,1.17E-04
C4H8O2,2.06E-05,1.40E-04
C4H8O2,2.05E-05,1.38E-04
C4H8O2,2.08E-05,1.38E-04
C4H8O2,2.82E-05,1.61E-04
C4H9N,1.68E-05,1.06E-04
C4H10,1.39E-05,1.17E-04
C4H10,1.34E-05,1.17E-04
C4H10O,2.09E-05,1.32E-04
C4H10O,1.88E-05,1.32E-04
C4H10O,2.04E-05,1.32E-04
C4H10O,1.75E-05,1.33E-04
C4H10S,2.29E-05,1.46E-04
C4H11N,1.94E-05,1.30E-04
C4H11N,1.94E-05,1.38E-04
C4H12Si,2.08E-05,1.65E-04
C5H4O2,2.22E-05,1.18E-04
C5H5N,1.98E-05,1.14E-04
C5H8,1.56E-05,1.10E-04
C5H10,1.79E-05,1.37E-04
C5H10,1.69E-05,1.29E-04
C5H10,1.73E-05,1.28E-04
C5H10,1.69E-05,1.18E-04
C5H10O,2.00E-05,1.25E-04
C5H10O2,2.28E-05,1.48E-04
C5H10O2,2.62E-05,1.70E-04
C5H10O2,2.59E-05,1.69E-04
C5H10O2,2.58E-05,1.66E-04
C5H10O2,2.49E-05,1.64E-04
C5H11N,2.08E-05,1.25E-04
C5H12,1.91E-05,1.45E-04
C5H12,1.83E-05,1.42E-04
C5H12,1.72E-05,1.41E-04
C5H12O,2.58E-05,1.56E-04
C6H5Br,2.90E-05,1.54E-04
C6H5Cl,2.58E-05,1.45E-04
C6H5F,2.01E-05,1.28E-04
C6H5I,3.35E-05,1.66E-04
C6H6,1.88E-05,1.19E-04
C6H5OH,2.29E-05,1.18E-04
C6H5NH2,2.91E-05,1.49E-04
C6H10O,3.11E-05,1.70E-04
C6H11N,3.55E-05,2.00E-04
C6H12,2.20E-05,1.41E-04
C6H11OH,2.89E-05,1.59E-04
C6H12O2,2.80E-05,1.73E-04
C6H12O2,2.91E-05,1.85E-04
C6H12O2,3.05E-05,1.92E-04
C6H12O2,2.91E-05,1.87E-04
C6H12O2,2.94E-05,1.85E-04
C6H14,2.50E-05,1.75E-04
C6H14,2.33E-05,1.66E-04
C6H14O,3.14E-05,1.83E-04
C6H15N,2.76E-05,1.84E-04
C6H15N,2.48E-05,1.59E-04
C7H5N,3.39E-05,1.73E-04
C7H6O,3.03E-05,1.55E-04
C7H8,2.49E-05,1.50E-04
C7H8O,2.83E-05,1.45E-04
C7H8O,3.19E-05,1.61E-04
C7H8O,2.81E-05,1.42E-04
C7H8O,3.47E-05,1.73E-04
C7H8O,2.86E-05,1.58E-04
C7H16,3.09E-05,2.04E-04
C7H15OH,3.72E-05,2.10E-04
C8H10,3.09E-05,1.78E-04
C8H10,3.11E-05,1.76E-04
C8H10,3.14E-05,1.81E-04
C8H10,3.15E-05,1.82E-04
C8H10O,3.57E-05,1.97E-04
C8H11N,3.79E-05,1.97E-04
C8H18,3.79E-05,2.37E-04
C8H18,3.55E-05,2.30E-04
C8H18O,4.34E-05,2.37E-04
C9H7N,3.67E-05,1.67E-04
C9H12,3.62E-05,2.04E-04
C9H12,3.71E-05,2.07E-04
C9H12,3.80E-05,2.09E-04
C9H12,3.79E-05,2.12E-04
C9H20,4.51E-05,2.70E-04
C9H20O,5.00E-05,2.65E-04
C10H8,4.03E-05,1.92E-04
C10H14,4.41E-05,2.38E-04
C10H14,4.04E-05,2.22E-04
C10H14,4.27E-05,2.34E-04
C10H14,4.53E-05,2.48E-04
C10H14,4.50E-05,2.44E-04
C10H14,4.58E-05,2.40E-04
C10H22,5.29E-05,3.05E-04
C10H22O,5.75E-05,2.97E-04
C11H24,6.09E-05,3.40E-04
C12H10,4.72E-05,2.13E-04
C12H26,6.91E-05,3.74E-04
C12H26O,7.27E-05,3.60E-04
C13H12,6.05E-05,2.80E-04
C13H28,7.79E-05,4.11E-04
C13H28O,8.12E-05,3.94E-04
C14H30O,8.99E-05,4.29E-04
C15H32,9.65E-05,4.86E-04
